Country,Happiness.Rank,Happiness.Score,Number of Records,Factors,Values,Year
Netherlands,7,7.38,1,Family.Support,1.28,2015
Netherlands,7,7.38,1,Freedom,0.62,2015
Netherlands,7,7.38,1,Generosity,0.48,2015
Netherlands,7,7.38,1,Health.Life.Expectancy,0.89,2015
Sweden,8,7.36,1,Absence.of.Corruption,0.44,2015
Sweden,8,7.36,1,Economy..GDP.per.Capita.,1.33,2015
Sweden,8,7.36,1,Family.Support,1.29,2015
Sweden,8,7.36,1,Freedom,0.66,2015
Sweden,8,7.36,1,Generosity,0.36,2015
Sweden,8,7.36,1,Health.Life.Expectancy,0.91,2015
New Zealand,9,7.29,1,Absence.of.Corruption,0.43,2015
New Zealand,9,7.29,1,Economy..GDP.per.Capita.,1.25,2015
New Zealand,9,7.29,1,Family.Support,1.32,2015
New Zealand,9,7.29,1,Freedom,0.64,2015
New Zealand,9,7.29,1,Generosity,0.48,2015
New Zealand,9,7.29,1,Health.Life.Expectancy,0.91,2015
Australia,10,7.28,1,Absence.of.Corruption,0.36,2015
Australia,10,7.28,1,Economy..GDP.per.Capita.,1.33,2015
Australia,10,7.28,1,Family.Support,1.31,2015
Australia,10,7.28,1,Freedom,0.65,2015
Australia,10,7.28,1,Generosity,0.44,2015
Australia,10,7.28,1,Health.Life.Expectancy,0.93,2015
Israel,11,7.28,1,Absence.of.Corruption,0.08,2015
Israel,11,7.28,1,Economy..GDP.per.Capita.,1.23,2015
Israel,11,7.28,1,Family.Support,1.22,2015
Israel,11,7.28,1,Freedom,0.41,2015
Israel,11,7.28,1,Generosity,0.33,2015
Israel,11,7.28,1,Health.Life.Expectancy,0.91,2015
Costa Rica,12,7.23,1,Absence.of.Corruption,0.11,2015
Costa Rica,12,7.23,1,Economy..GDP.per.Capita.,0.96,2015
Costa Rica,12,7.23,1,Family.Support,1.24,2015
Costa Rica,12,7.23,1,Freedom,0.63,2015
Costa Rica,12,7.23,1,Generosity,0.25,2015
Costa Rica,12,7.23,1,Health.Life.Expectancy,0.86,2015
Austria,13,7.2,1,Absence.of.Corruption,0.19,2015
Austria,13,7.2,1,Economy..GDP.per.Capita.,1.34,2015
Austria,13,7.2,1,Family.Support,1.3,2015
Austria,13,7.2,1,Freedom,0.62,2015
Austria,13,7.2,1,Generosity,0.33,2015
Austria,13,7.2,1,Health.Life.Expectancy,0.89,2015
Mexico,14,7.19,1,Absence.of.Corruption,0.21,2015
Mexico,14,7.19,1,Economy..GDP.per.Capita.,1.02,2015
Mexico,14,7.19,1,Family.Support,0.91,2015
Mexico,14,7.19,1,Freedom,0.48,2015
Mexico,14,7.19,1,Generosity,0.14,2015
Mexico,14,7.19,1,Health.Life.Expectancy,0.81,2015
United States,15,7.12,1,Absence.of.Corruption,0.16,2015
United States,15,7.12,1,Economy..GDP.per.Capita.,1.39,2015
United States,15,7.12,1,Family.Support,1.25,2015
United States,15,7.12,1,Freedom,0.55,2015
United States,15,7.12,1,Generosity,0.4,2015
United States,15,7.12,1,Health.Life.Expectancy,0.86,2015
Brazil,16,6.98,1,Absence.of.Corruption,0.18,2015
Brazil,16,6.98,1,Economy..GDP.per.Capita.,0.98,2015
Brazil,16,6.98,1,Family.Support,1.23,2015
Brazil,16,6.98,1,Freedom,0.49,2015
Brazil,16,6.98,1,Generosity,0.15,2015
Brazil,16,6.98,1,Health.Life.Expectancy,0.7,2015
Luxembourg,17,6.95,1,Absence.of.Corruption,0.38,2015
Luxembourg,17,6.95,1,Economy..GDP.per.Capita.,1.56,2015
Luxembourg,17,6.95,1,Family.Support,1.22,2015
Luxembourg,17,6.95,1,Freedom,0.62,2015
Luxembourg,17,6.95,1,Generosity,0.28,2015
Luxembourg,17,6.95,1,Health.Life.Expectancy,0.92,2015
Ireland,18,6.94,1,Absence.of.Corruption,0.29,2015
Ireland,18,6.94,1,Economy..GDP.per.Capita.,1.34,2015
Ireland,18,6.94,1,Family.Support,1.37,2015
Ireland,18,6.94,1,Freedom,0.62,2015
Ireland,18,6.94,1,Generosity,0.46,2015
Ireland,18,6.94,1,Health.Life.Expectancy,0.9,2015
Belgium,19,6.94,1,Absence.of.Corruption,0.23,2015
Belgium,19,6.94,1,Economy..GDP.per.Capita.,1.31,2015
Belgium,19,6.94,1,Family.Support,1.29,2015
Belgium,19,6.94,1,Freedom,0.58,2015
Belgium,19,6.94,1,Generosity,0.22,2015
Belgium,19,6.94,1,Health.Life.Expectancy,0.9,2015
United Arab Emirates,20,6.9,1,Absence.of.Corruption,0.39,2015
United Arab Emirates,20,6.9,1,Economy..GDP.per.Capita.,1.43,2015
United Arab Emirates,20,6.9,1,Family.Support,1.13,2015
United Arab Emirates,20,6.9,1,Freedom,0.64,2015
United Arab Emirates,20,6.9,1,Generosity,0.26,2015
United Arab Emirates,20,6.9,1,Health.Life.Expectancy,0.81,2015
United Kingdom,21,6.87,1,Absence.of.Corruption,0.32,2015
United Kingdom,21,6.87,1,Economy..GDP.per.Capita.,1.27,2015
United Kingdom,21,6.87,1,Family.Support,1.29,2015
United Kingdom,21,6.87,1,Freedom,0.6,2015
United Kingdom,21,6.87,1,Generosity,0.52,2015
United Kingdom,21,6.87,1,Health.Life.Expectancy,0.91,2015
Oman,22,6.85,1,Absence.of.Corruption,0.33,2015
Oman,22,6.85,1,Economy..GDP.per.Capita.,1.36,2015
Oman,22,6.85,1,Family.Support,1.08,2015
Oman,22,6.85,1,Freedom,0.63,2015
Oman,22,6.85,1,Generosity,0.22,2015
Oman,22,6.85,1,Health.Life.Expectancy,0.76,2015
Venezuela,23,6.81,1,Absence.of.Corruption,0.11,2015
Venezuela,23,6.81,1,Economy..GDP.per.Capita.,1.04,2015
Venezuela,23,6.81,1,Family.Support,1.26,2015
Venezuela,23,6.81,1,Freedom,0.43,2015
Venezuela,23,6.81,1,Generosity,0.06,2015
Venezuela,23,6.81,1,Health.Life.Expectancy,0.72,2015
Singapore,24,6.8,1,Absence.of.Corruption,0.49,2015
Singapore,24,6.8,1,Economy..GDP.per.Capita.,1.52,2015
Singapore,24,6.8,1,Family.Support,1.02,2015
Singapore,24,6.8,1,Freedom,0.54,2015
Singapore,24,6.8,1,Generosity,0.31,2015
Singapore,24,6.8,1,Health.Life.Expectancy,1.03,2015
Panama,25,6.79,1,Absence.of.Corruption,0.09,2015
Panama,25,6.79,1,Economy..GDP.per.Capita.,1.06,2015
Panama,25,6.79,1,Family.Support,1.2,2015
Panama,25,6.79,1,Freedom,0.54,2015
Panama,25,6.79,1,Generosity,0.24,2015
Panama,25,6.79,1,Health.Life.Expectancy,0.8,2015
Germany,26,6.75,1,Absence.of.Corruption,0.22,2015
Germany,26,6.75,1,Economy..GDP.per.Capita.,1.33,2015
Germany,26,6.75,1,Family.Support,1.3,2015
Germany,26,6.75,1,Freedom,0.61,2015
Germany,26,6.75,1,Generosity,0.28,2015
Germany,26,6.75,1,Health.Life.Expectancy,0.89,2015
Chile,27,6.67,1,Absence.of.Corruption,0.13,2015
Chile,27,6.67,1,Economy..GDP.per.Capita.,1.11,2015
Chile,27,6.67,1,Family.Support,1.12,2015
Chile,27,6.67,1,Freedom,0.44,2015
Chile,27,6.67,1,Generosity,0.33,2015
Chile,27,6.67,1,Health.Life.Expectancy,0.86,2015
Qatar,28,6.61,1,Absence.of.Corruption,0.52,2015
Qatar,28,6.61,1,Economy..GDP.per.Capita.,1.69,2015
Qatar,28,6.61,1,Family.Support,1.08,2015
Qatar,28,6.61,1,Freedom,0.64,2015
Qatar,28,6.61,1,Generosity,0.33,2015
Qatar,28,6.61,1,Health.Life.Expectancy,0.8,2015
France,29,6.58,1,Absence.of.Corruption,0.21,2015
France,29,6.58,1,Economy..GDP.per.Capita.,1.28,2015
France,29,6.58,1,Family.Support,1.26,2015
France,29,6.58,1,Freedom,0.55,2015
France,29,6.58,1,Generosity,0.12,2015
France,29,6.58,1,Health.Life.Expectancy,0.95,2015
Argentina,30,6.57,1,Absence.of.Corruption,0.08,2015
Argentina,30,6.57,1,Economy..GDP.per.Capita.,1.05,2015
Argentina,30,6.57,1,Family.Support,1.25,2015
Argentina,30,6.57,1,Freedom,0.45,2015
Argentina,30,6.57,1,Generosity,0.11,2015
Argentina,30,6.57,1,Health.Life.Expectancy,0.79,2015
Czech Republic,31,6.5,1,Absence.of.Corruption,0.03,2015
Czech Republic,31,6.5,1,Economy..GDP.per.Capita.,1.18,2015
Czech Republic,31,6.5,1,Family.Support,1.21,2015
Czech Republic,31,6.5,1,Freedom,0.46,2015
Czech Republic,31,6.5,1,Generosity,0.11,2015
Czech Republic,31,6.5,1,Health.Life.Expectancy,0.84,2015
Uruguay,32,6.49,1,Absence.of.Corruption,0.25,2015
Uruguay,32,6.49,1,Economy..GDP.per.Capita.,1.06,2015
Uruguay,32,6.49,1,Family.Support,1.21,2015
Uruguay,32,6.49,1,Freedom,0.6,2015
Uruguay,32,6.49,1,Generosity,0.23,2015
Uruguay,32,6.49,1,Health.Life.Expectancy,0.81,2015
Colombia,33,6.48,1,Absence.of.Corruption,0.05,2015
Colombia,33,6.48,1,Economy..GDP.per.Capita.,0.92,2015
Colombia,33,6.48,1,Family.Support,1.24,2015
Colombia,33,6.48,1,Freedom,0.53,2015
Colombia,33,6.48,1,Generosity,0.18,2015
Colombia,33,6.48,1,Health.Life.Expectancy,0.69,2015
Thailand,34,6.46,1,Absence.of.Corruption,0.03,2015
Thailand,34,6.46,1,Economy..GDP.per.Capita.,0.97,2015
Thailand,34,6.46,1,Family.Support,1.27,2015
Thailand,34,6.46,1,Freedom,0.56,2015
Thailand,34,6.46,1,Generosity,0.58,2015
Thailand,34,6.46,1,Health.Life.Expectancy,0.74,2015
Saudi Arabia,35,6.41,1,Absence.of.Corruption,0.33,2015
Saudi Arabia,35,6.41,1,Economy..GDP.per.Capita.,1.4,2015
Saudi Arabia,35,6.41,1,Family.Support,1.08,2015
Saudi Arabia,35,6.41,1,Freedom,0.31,2015
Saudi Arabia,35,6.41,1,Generosity,0.14,2015
Saudi Arabia,35,6.41,1,Health.Life.Expectancy,0.72,2015
Spain,36,6.33,1,Absence.of.Corruption,0.06,2015
Spain,36,6.33,1,Economy..GDP.per.Capita.,1.23,2015
Spain,36,6.33,1,Family.Support,1.31,2015
Spain,36,6.33,1,Freedom,0.46,2015
Spain,36,6.33,1,Generosity,0.18,2015
Spain,36,6.33,1,Health.Life.Expectancy,0.96,2015
Malta,37,6.3,1,Absence.of.Corruption,0.14,2015
Malta,37,6.3,1,Economy..GDP.per.Capita.,1.21,2015
Malta,37,6.3,1,Family.Support,1.3,2015
Malta,37,6.3,1,Freedom,0.6,2015
Malta,37,6.3,1,Generosity,0.52,2015
Malta,37,6.3,1,Health.Life.Expectancy,0.89,2015
China,38,6.3,1,Absence.of.Corruption,0.08,2015
China,38,6.3,1,Economy..GDP.per.Capita.,1.29,2015
China,38,6.3,1,Family.Support,1.08,2015
China,38,6.3,1,Freedom,0.4,2015
China,38,6.3,1,Generosity,0.25,2015
China,38,6.3,1,Health.Life.Expectancy,0.88,2015
Kuwait,39,6.29,1,Absence.of.Corruption,0.26,2015
Kuwait,39,6.29,1,Economy..GDP.per.Capita.,1.55,2015
Kuwait,39,6.29,1,Family.Support,1.17,2015
Kuwait,39,6.29,1,Freedom,0.55,2015
Kuwait,39,6.29,1,Generosity,0.16,2015
Kuwait,39,6.29,1,Health.Life.Expectancy,0.72,2015
Suriname,40,6.27,1,Absence.of.Corruption,0.14,2015
Suriname,40,6.27,1,Economy..GDP.per.Capita.,1,2015
Suriname,40,6.27,1,Family.Support,0.97,2015
Suriname,40,6.27,1,Freedom,0.6,2015
Suriname,40,6.27,1,Generosity,0.17,2015
Suriname,40,6.27,1,Health.Life.Expectancy,0.61,2015
Trinidad and Tobago,41,6.17,1,Absence.of.Corruption,0.01,2015
Trinidad and Tobago,41,6.17,1,Economy..GDP.per.Capita.,1.21,2015
Trinidad and Tobago,41,6.17,1,Family.Support,1.18,2015
Trinidad and Tobago,41,6.17,1,Freedom,0.56,2015
Trinidad and Tobago,41,6.17,1,Generosity,0.32,2015
Trinidad and Tobago,41,6.17,1,Health.Life.Expectancy,0.61,2015
El Salvador,42,6.13,1,Absence.of.Corruption,0.12,2015
El Salvador,42,6.13,1,Economy..GDP.per.Capita.,0.76,2015
El Salvador,42,6.13,1,Family.Support,1.03,2015
El Salvador,42,6.13,1,Freedom,0.4,2015
El Salvador,42,6.13,1,Generosity,0.11,2015
El Salvador,42,6.13,1,Health.Life.Expectancy,0.68,2015
Guatemala,43,6.12,1,Absence.of.Corruption,0.09,2015
Guatemala,43,6.12,1,Economy..GDP.per.Capita.,0.75,2015
Guatemala,43,6.12,1,Family.Support,1.04,2015
Guatemala,43,6.12,1,Freedom,0.58,2015
Guatemala,43,6.12,1,Generosity,0.27,2015
Guatemala,43,6.12,1,Health.Life.Expectancy,0.64,2015
Uzbekistan,44,6,1,Absence.of.Corruption,0.31,2015
Uzbekistan,44,6,1,Economy..GDP.per.Capita.,0.63,2015
Uzbekistan,44,6,1,Family.Support,1.34,2015
Uzbekistan,44,6,1,Freedom,0.66,2015
Uzbekistan,44,6,1,Generosity,0.23,2015
Uzbekistan,44,6,1,Health.Life.Expectancy,0.6,2015
Slovakia,45,6,1,Absence.of.Corruption,0.03,2015
Slovakia,45,6,1,Economy..GDP.per.Capita.,1.17,2015
Slovakia,45,6,1,Family.Support,1.27,2015
Slovakia,45,6,1,Freedom,0.32,2015
Slovakia,45,6,1,Generosity,0.17,2015
Slovakia,45,6,1,Health.Life.Expectancy,0.79,2015
China,46,5.99,1,Absence.of.Corruption,0.18,2015
China,46,5.99,1,Economy..GDP.per.Capita.,1.27,2015
China,46,5.99,1,Family.Support,1.26,2015
China,46,5.99,1,Freedom,0.5,2015
China,46,5.99,1,Generosity,0.11,2015
China,46,5.99,1,Health.Life.Expectancy,0.99,2015
South Korea,47,5.98,1,Absence.of.Corruption,0.08,2015
South Korea,47,5.98,1,Economy..GDP.per.Capita.,1.24,2015
South Korea,47,5.98,1,Family.Support,0.96,2015
South Korea,47,5.98,1,Freedom,0.33,2015
South Korea,47,5.98,1,Generosity,0.19,2015
South Korea,47,5.98,1,Health.Life.Expectancy,0.97,2015
Ecuador,48,5.97,1,Absence.of.Corruption,0.18,2015
Ecuador,48,5.97,1,Economy..GDP.per.Capita.,0.86,2015
Ecuador,48,5.97,1,Family.Support,1,2015
Ecuador,48,5.97,1,Freedom,0.49,2015
Ecuador,48,5.97,1,Generosity,0.12,2015
Ecuador,48,5.97,1,Health.Life.Expectancy,0.79,2015
Bahrain,49,5.96,1,Absence.of.Corruption,0.31,2015
Bahrain,49,5.96,1,Economy..GDP.per.Capita.,1.32,2015
Bahrain,49,5.96,1,Family.Support,1.22,2015
Bahrain,49,5.96,1,Freedom,0.45,2015
Bahrain,49,5.96,1,Generosity,0.17,2015
Bahrain,49,5.96,1,Health.Life.Expectancy,0.75,2015
Italy,50,5.95,1,Absence.of.Corruption,0.03,2015
Italy,50,5.95,1,Economy..GDP.per.Capita.,1.25,2015
Italy,50,5.95,1,Family.Support,1.2,2015
Italy,50,5.95,1,Freedom,0.26,2015
Italy,50,5.95,1,Generosity,0.23,2015
Italy,50,5.95,1,Health.Life.Expectancy,0.95,2015
Bolivia,51,5.89,1,Absence.of.Corruption,0.09,2015
Bolivia,51,5.89,1,Economy..GDP.per.Capita.,0.68,2015
Bolivia,51,5.89,1,Family.Support,0.98,2015
Bolivia,51,5.89,1,Freedom,0.57,2015
Bolivia,51,5.89,1,Generosity,0.21,2015
Bolivia,51,5.89,1,Health.Life.Expectancy,0.54,2015
Moldova,52,5.89,1,Absence.of.Corruption,0.02,2015
Moldova,52,5.89,1,Economy..GDP.per.Capita.,0.59,2015
Moldova,52,5.89,1,Family.Support,1.02,2015
Moldova,52,5.89,1,Freedom,0.33,2015
Moldova,52,5.89,1,Generosity,0.21,2015
Moldova,52,5.89,1,Health.Life.Expectancy,0.62,2015
Paraguay,53,5.88,1,Absence.of.Corruption,0.08,2015
Paraguay,53,5.88,1,Economy..GDP.per.Capita.,0.76,2015
Paraguay,53,5.88,1,Family.Support,1.3,2015
Paraguay,53,5.88,1,Freedom,0.54,2015
Paraguay,53,5.88,1,Generosity,0.34,2015
Paraguay,53,5.88,1,Health.Life.Expectancy,0.66,2015
Kazakhstan,54,5.86,1,Absence.of.Corruption,0.08,2015
Kazakhstan,54,5.86,1,Economy..GDP.per.Capita.,1.12,2015
Kazakhstan,54,5.86,1,Family.Support,1.12,2015
Kazakhstan,54,5.86,1,Freedom,0.52,2015
Kazakhstan,54,5.86,1,Generosity,0.12,2015
Kazakhstan,54,5.86,1,Health.Life.Expectancy,0.64,2015
Slovenia,55,5.85,1,Absence.of.Corruption,0.04,2015
Slovenia,55,5.85,1,Economy..GDP.per.Capita.,1.18,2015
Slovenia,55,5.85,1,Family.Support,1.27,2015
Slovenia,55,5.85,1,Freedom,0.61,2015
Slovenia,55,5.85,1,Generosity,0.25,2015
Slovenia,55,5.85,1,Health.Life.Expectancy,0.87,2015
Lithuania,56,5.83,1,Absence.of.Corruption,0.01,2015
Lithuania,56,5.83,1,Economy..GDP.per.Capita.,1.15,2015
Lithuania,56,5.83,1,Family.Support,1.26,2015
Lithuania,56,5.83,1,Freedom,0.21,2015
Lithuania,56,5.83,1,Generosity,0.03,2015
Lithuania,56,5.83,1,Health.Life.Expectancy,0.73,2015
Nicaragua,57,5.83,1,Absence.of.Corruption,0.19,2015
Nicaragua,57,5.83,1,Economy..GDP.per.Capita.,0.59,2015
Nicaragua,57,5.83,1,Family.Support,1.14,2015
Nicaragua,57,5.83,1,Freedom,0.55,2015
Nicaragua,57,5.83,1,Generosity,0.28,2015
Nicaragua,57,5.83,1,Health.Life.Expectancy,0.74,2015
Peru,58,5.82,1,Absence.of.Corruption,0.06,2015
Peru,58,5.82,1,Economy..GDP.per.Capita.,0.9,2015
Peru,58,5.82,1,Family.Support,0.97,2015
Peru,58,5.82,1,Freedom,0.41,2015
Peru,58,5.82,1,Generosity,0.15,2015
Peru,58,5.82,1,Health.Life.Expectancy,0.73,2015
Belarus,59,5.81,1,Absence.of.Corruption,0.19,2015
Belarus,59,5.81,1,Economy..GDP.per.Capita.,1.03,2015
Belarus,59,5.81,1,Family.Support,1.23,2015
Belarus,59,5.81,1,Freedom,0.38,2015
Belarus,59,5.81,1,Generosity,0.11,2015
Belarus,59,5.81,1,Health.Life.Expectancy,0.74,2015
Poland,60,5.79,1,Absence.of.Corruption,0.04,2015
Poland,60,5.79,1,Economy..GDP.per.Capita.,1.13,2015
Poland,60,5.79,1,Family.Support,1.28,2015
Poland,60,5.79,1,Freedom,0.53,2015
Poland,60,5.79,1,Generosity,0.17,2015
Poland,60,5.79,1,Health.Life.Expectancy,0.78,2015
Malaysia,61,5.77,1,Absence.of.Corruption,0.11,2015
Malaysia,61,5.77,1,Economy..GDP.per.Capita.,1.12,2015
Malaysia,61,5.77,1,Family.Support,1.07,2015
Malaysia,61,5.77,1,Freedom,0.53,2015
Malaysia,61,5.77,1,Generosity,0.33,2015
Malaysia,61,5.77,1,Health.Life.Expectancy,0.72,2015
Croatia,62,5.76,1,Absence.of.Corruption,0.02,2015
Croatia,62,5.76,1,Economy..GDP.per.Capita.,1.08,2015
Croatia,62,5.76,1,Family.Support,0.8,2015
Croatia,62,5.76,1,Freedom,0.26,2015
Croatia,62,5.76,1,Generosity,0.05,2015
Croatia,62,5.76,1,Health.Life.Expectancy,0.79,2015
Libya,63,5.75,1,Absence.of.Corruption,0.11,2015
Libya,63,5.75,1,Economy..GDP.per.Capita.,1.13,2015
Libya,63,5.75,1,Family.Support,1.12,2015
Libya,63,5.75,1,Freedom,0.42,2015
Libya,63,5.75,1,Generosity,0.18,2015
Libya,63,5.75,1,Health.Life.Expectancy,0.7,2015
Russia,64,5.72,1,Absence.of.Corruption,0.03,2015
Russia,64,5.72,1,Economy..GDP.per.Capita.,1.14,2015
Russia,64,5.72,1,Family.Support,1.24,2015
Russia,64,5.72,1,Freedom,0.37,2015
Russia,64,5.72,1,Generosity,0,2015
Russia,64,5.72,1,Health.Life.Expectancy,0.67,2015
Jamaica,65,5.71,1,Absence.of.Corruption,0.02,2015
Jamaica,65,5.71,1,Economy..GDP.per.Capita.,0.81,2015
Jamaica,65,5.71,1,Family.Support,1.15,2015
Jamaica,65,5.71,1,Freedom,0.5,2015
Jamaica,65,5.71,1,Generosity,0.21,2015
Jamaica,65,5.71,1,Health.Life.Expectancy,0.69,2015
Northern Cyprus,66,5.7,1,Absence.of.Corruption,0.14,2015
Northern Cyprus,66,5.7,1,Economy..GDP.per.Capita.,1.21,2015
Northern Cyprus,66,5.7,1,Family.Support,1.07,2015
Northern Cyprus,66,5.7,1,Freedom,0.49,2015
Northern Cyprus,66,5.7,1,Generosity,0.26,2015
Northern Cyprus,66,5.7,1,Health.Life.Expectancy,0.92,2015
Cyprus,67,5.69,1,Absence.of.Corruption,0.06,2015
Cyprus,67,5.69,1,Economy..GDP.per.Capita.,1.21,2015
Cyprus,67,5.69,1,Family.Support,0.89,2015
Cyprus,67,5.69,1,Freedom,0.41,2015
Cyprus,67,5.69,1,Generosity,0.31,2015
Cyprus,67,5.69,1,Health.Life.Expectancy,0.92,2015
Algeria,68,5.61,1,Absence.of.Corruption,0.17,2015
Algeria,68,5.61,1,Economy..GDP.per.Capita.,0.94,2015
Algeria,68,5.61,1,Family.Support,1.08,2015
Algeria,68,5.61,1,Freedom,0.29,2015
Algeria,68,5.61,1,Generosity,0.08,2015
Algeria,68,5.61,1,Health.Life.Expectancy,0.62,2015
Kosovo,69,5.59,1,Absence.of.Corruption,0.05,2015
Kosovo,69,5.59,1,Economy..GDP.per.Capita.,0.8,2015
Kosovo,69,5.59,1,Family.Support,0.81,2015
Kosovo,69,5.59,1,Freedom,0.25,2015
Kosovo,69,5.59,1,Generosity,0.28,2015
Kosovo,69,5.59,1,Health.Life.Expectancy,0.63,2015
Turkmenistan,70,5.55,1,Absence.of.Corruption,0.31,2015
Turkmenistan,70,5.55,1,Economy..GDP.per.Capita.,0.96,2015
Turkmenistan,70,5.55,1,Family.Support,1.23,2015
Turkmenistan,70,5.55,1,Freedom,0.48,2015
Turkmenistan,70,5.55,1,Generosity,0.17,2015
Turkmenistan,70,5.55,1,Health.Life.Expectancy,0.54,2015
Mauritius,71,5.48,1,Absence.of.Corruption,0.08,2015
Mauritius,71,5.48,1,Economy..GDP.per.Capita.,1.01,2015
Mauritius,71,5.48,1,Family.Support,0.99,2015
Mauritius,71,5.48,1,Freedom,0.56,2015
Mauritius,71,5.48,1,Generosity,0.38,2015
Mauritius,71,5.48,1,Health.Life.Expectancy,0.71,2015
China,72,5.47,1,Absence.of.Corruption,0.37,2015
China,72,5.47,1,Economy..GDP.per.Capita.,1.39,2015
China,72,5.47,1,Family.Support,1.06,2015
China,72,5.47,1,Freedom,0.6,2015
China,72,5.47,1,Generosity,0.39,2015
China,72,5.47,1,Health.Life.Expectancy,1.01,2015
Estonia,73,5.43,1,Absence.of.Corruption,0.15,2015
Estonia,73,5.43,1,Economy..GDP.per.Capita.,1.15,2015
Estonia,73,5.43,1,Family.Support,1.23,2015
Estonia,73,5.43,1,Freedom,0.45,2015
Estonia,73,5.43,1,Generosity,0.09,2015
Estonia,73,5.43,1,Health.Life.Expectancy,0.77,2015
Indonesia,74,5.4,1,Absence.of.Corruption,0,2015
Indonesia,74,5.4,1,Economy..GDP.per.Capita.,0.83,2015
Indonesia,74,5.4,1,Family.Support,1.09,2015
Indonesia,74,5.4,1,Freedom,0.47,2015
Indonesia,74,5.4,1,Generosity,0.52,2015
Indonesia,74,5.4,1,Health.Life.Expectancy,0.64,2015
Vietnam,75,5.36,1,Absence.of.Corruption,0.1,2015
Vietnam,75,5.36,1,Economy..GDP.per.Capita.,0.63,2015
Vietnam,75,5.36,1,Family.Support,0.91,2015
Vietnam,75,5.36,1,Freedom,0.59,2015
Vietnam,75,5.36,1,Generosity,0.17,2015
Vietnam,75,5.36,1,Health.Life.Expectancy,0.75,2015
Turkey,76,5.33,1,Absence.of.Corruption,0.16,2015
Turkey,76,5.33,1,Economy..GDP.per.Capita.,1.06,2015
Turkey,76,5.33,1,Family.Support,0.95,2015
Turkey,76,5.33,1,Freedom,0.23,2015
Turkey,76,5.33,1,Generosity,0.12,2015
Turkey,76,5.33,1,Health.Life.Expectancy,0.73,2015
Kyrgyzstan,77,5.29,1,Absence.of.Corruption,0.04,2015
Kyrgyzstan,77,5.29,1,Economy..GDP.per.Capita.,0.47,2015
Kyrgyzstan,77,5.29,1,Family.Support,1.15,2015
Kyrgyzstan,77,5.29,1,Freedom,0.43,2015
Kyrgyzstan,77,5.29,1,Generosity,0.3,2015
Kyrgyzstan,77,5.29,1,Health.Life.Expectancy,0.65,2015
Nigeria,78,5.27,1,Absence.of.Corruption,0.04,2015
Nigeria,78,5.27,1,Economy..GDP.per.Capita.,0.65,2015
Nigeria,78,5.27,1,Family.Support,0.9,2015
Nigeria,78,5.27,1,Freedom,0.34,2015
Nigeria,78,5.27,1,Generosity,0.27,2015
Nigeria,78,5.27,1,Health.Life.Expectancy,0.16,2015
Bhutan,79,5.25,1,Absence.of.Corruption,0.15,2015
Bhutan,79,5.25,1,Economy..GDP.per.Capita.,0.77,2015
Bhutan,79,5.25,1,Family.Support,1.1,2015
Bhutan,79,5.25,1,Freedom,0.53,2015
Bhutan,79,5.25,1,Generosity,0.48,2015
Bhutan,79,5.25,1,Health.Life.Expectancy,0.57,2015
